Бренд;Категория;Формат номера;Примеры оригинальных номеров
Segurestil;Безопасность;Артикул;Segurestil-001
Seguridad Tesa;Безопасность;Артикул;Seguridad Tesa-001
SENOR;Электрика;Артикул;SENOR-001
Sensea;Ванные комнаты;Коллекция;Sensea-001
Shelly;Умный дом;Shelly + серия + код;Shelly 1PM;Shelly Plus 2PM;SHSW-25
Siemens;Бытовая техника;2 буквы + цифры + буквы;SN23EI14CE;WM14N26XES;HB578G5S6;KI81RAFE0
Sika;Краски и химия;Sika + название + цифры;SikaFlex-111;Sikafloor-156;SikaBond-T2
Silestone;Поверхности;Коллекция;Silestone-001
Simon;Электрика;"5 цифр-2 цифры; серия 27/82/100";10101-39;75001-39;82805-30;10020101-039
Simonrack;Мебель;Артикул;Simonrack-001
Sistemas Horticolas Almeria;Сад;Артикул;Sistemas Horticolas Almeria-001
Skil;Электроинструмент;4 цифры + 2 буквы;2005 AA;6505 AA;3010 CA;0780 AA
Smartcret;Стройматериалы;Артикул;Smartcret-001
Smeg;Бытовая техника;Модель;Smeg-001
Snickers Workwear;Одежда;Артикул;Snickers Workwear-001
Sobuy;Мебель;Артикул;Sobuy-001
SoBuy;Мебель;Артикул;SoBuy-001
Sogem;Металлоизделия;Артикул;Sogem-001
Solid Gear;Обувь;Артикул;Solid Gear-001
Solo ECM;Климат;Модель;Solo ECM-001
Somfy;Умный дом;"1240/2401 + код; серия + цифры";1240630;Sonesse 40;Connexoon Window
Songmics Home;Мебель;Артикул;Songmics Home-001
Sonoff;Умный дом;"Серия + код; BASIC/S26";Basic R2;S26R2;TH16
Soudal;Краски и химия;"Серия + код; 100 + цифры";Soudafoam 750;Fix All High Tack
Soulhome;Декор;Артикул;Soulhome-001
Spaceo;Ванные комнаты;Коллекция;Spaceo-001
Spaceo;Ванные комнаты;Коллекция;Spaceo-001
Sparco;Автоаксессуары;"Серия + код; SPC + цифры";SPC0905;R100 03777
Spax;Крепеж;"Размер + тип; EAN-артикул";SPAX 4x40;5001010350405;T-STAR plus 5x60
Standard Hidraulica;Сантехника;Артикул;Standard Hidraulica-001
Standers;Стройматериалы;Артикул;Standers-001
Stanley Fatmax;Электроинструмент;SFM/FMC + буквы + цифры;SFMCD700;FMC627D2;FMHT0-70886;SFMCS500
Stayer;Инструменты;Буквы + цифры;SA 200;L2023K;TH1100
Sterwins;Стройматериалы;Артикул;Sterwins-001
StoresDeco;Текстиль;Артикул;StoresDeco-001
Strohm Teka;Кухни;Артикул;Strohm Teka-001
Sulion;Освещение;Артикул;Sulion-001
Sunseeker;Бассейны;Артикул;Sunseeker-001
Supra;Отопление;Модель;Supra-001
Sweeek;Мебель;Артикул;Sweeek-001
Tado;Умный дом;Название + поколение;Smart Thermostat V3+;AC Control V3
Tapo;Умный дом;Tapo + буква + 3 цифры;Tapo C200;Tapo P100;Tapo L510E
TAPPWATER;Фильтры;Модель;TAPPWATER-001
Tarkett;Напольные покрытия;Артикул + коллекция;14007045; Art Vinyl
Tatay;Пластик;"5 цифр; серия";1150001;4480101
Taurus;Бытовая техника;Модель;Taurus-001
Tayg;Сад;"Название + код; TG + цифры";TG-51;Basurero 110L
TCL;Бытовая техника;Буквы + цифры;55C715; TCL-24D3020
TColors;Краски;Артикул;TColors-001
Tecnolmac;Стройматериалы;Артикул;Tecnolmac-001
Tefal;Бытовая техника;2 буквы + 4 цифры + суффикс;GV9620E0;CY7788;FZ7738;SW341D;KI150D30
Tejas Borja;Кровля;Артикул;Tejas Borja-001
Teka;Кухни;"ML/HLB/Maestro + цифры; 40xxxxx";ML 915;HLB 8400;Maestro ML 822 BIS;40483540
Televes;Электрика;4-6 цифр;5355;769001;5602
Tensite;Крепеж;Артикул;Tensite-001
Terry;Садовая мебель;Модель;Terry-001
Tesa;Крепеж;Артикул;Tesa-001
Tesa Assa Abloy;Безопасность;Артикул;Tesa Assa Abloy-001
TESY;Водонагреватели;Серия + цифры;BiLight GCV 50;ModEco 80
Thermogreen;Изоляция;Артикул;Thermogreen-001
Thomson;Электроника;Модель;Thomson-001
THT;Стройматериалы;Артикул;THT-001
THU Ceiling Solutions;Потолки;Артикул;THU Ceiling Solutions-001
Timbela;Садовая мебель;Модель;Timbela-001
Titanlux;Краски;Название + код 3 цифры;TITANLUX 401;Barniz Mar 527;Esmalte 533
Toscano;Декор;Артикул;Toscano-001
Toshiba;Электроника;Модель;Toshiba-001
Toupret;Стройматериалы;"Название + цифры; EAN";Cachet Rouge N3;TX130;3178310013001
Toyotomi;Отопление;Серия + цифры;Zibro LC-30;Kero SRE 301
Tp Link;Электроника;"TL-/Archer/Deco + буквы/цифры; Tapo + буква + цифры";TL-WR840N;Archer AX55;Deco X20;Tapo C200;Tapo P100
Trio lightning;Освещение;Артикул;Trio lightning-001
Tuhome Concept;Умный дом;Модель;Tuhome Concept-001
Turboair;Кухонная техника;Модель;Turboair-001
U-Power;Энергия;"UP- + N + OPZS + ёмкость; серия AGM/LFP";UP-8OPZS800;UP-10OPZS1000;UP2500 2,8kWh;4 OPZS 200
Ufesa;Кухонная техника;Модель;Ufesa-001
Uhu;Клеи;"Название + код; 3 цифры";UHU 125;Hart 33;Super Glue 45870
Ulma;Стройматериалы;Артикул;Ulma-001
Ultenic;Уборка;U/D + цифры;U11 Pro;D5s Pro
Vaillant;Отопление;ecoTEC + серия + код;ecoTEC pure VMW 236;0010022444
Valentine;Декор;Артикул;Valentine-001
Velasco;Мебель;Артикул;Velasco-001
Velilla;Текстиль;Артикул;Velilla-001
Velux;Окна;GGU/GGL + 4 цифры + код;GGL 3062;MK04 78x98
Verniprens;Стройматериалы;Артикул;Verniprens-001
Versa;Мебель;Артикул;Versa-001
Vevor;Инструменты;Артикул;Vevor-001
VEVOR;Инструменты;Артикул;Vevor-001
Victron Energy;Энергия;"SCC + 12 цифр (part); серия + вольты/амперы";SCC115070211;SCC010070200;SmartSolar MPPT 150/70;BlueSolar 12/24V 30A;MultiPlus 48/3000/35
Vileda;Уборка;"6 цифр; название серии";158632;121167;EasyWring Turbo
VISO;Ванные комнаты;Коллекция;VISO-001
Vithal Garden;Сад;Артикул;Vithal Garden-001
Vito;Отопление;Модель;Vito-001
Vitral por Glassinox;Стекло;Артикул;Vitral por Glassinox-001
Wagner;Краскопульты;W/Control Pro + цифры;W 590;Control Pro 250 M;2394313
Wallbox;Зарядные станции;Pulsar/Copper + код;Pulsar Plus 7.4kW;PLP1-0-02-3-9
WD-40;Химия;Артикул;WD-40-001
Weber barbacoas;Барбекю;"7 цифр; серия + буквы";4140001;1357004;1221004;1741001
Wellhome;Декор;Артикул;Wellhome-001
Wenko;Ванные комнаты;Артикул;Wenko-001
What the sleep;Матрасы;Модель;What the sleep-001
Whirlpool;Бытовая техника;AWO/WFO/W6 + цифры + буквы;AWO/D 7220;WFO 3T123 P;W6 W945WB;FFB 9469 BV
Wolfcraft;Инструменты;7 цифр;4640000;6906500;4522304
Wonderlamp;Освещение;Артикул;Wonderlamp-001
Wood´s;Дерево;Артикул;Wood´s-001
Woodupp;Дерево;Артикул;Woodupp-001
WORX;Электроинструмент;"WX + 3 цифры (+дробь); WG/WU сад";WX372;WX255;WG630E;WU127;WX082L
Wuto;Декор;Артикул;Wuto-001
Xiaomi;Электроника;"BHR + 4 цифры + 2 буквы; XM/XMYX + цифры + YM";BHR4268GL;XMYX02YM;BHR4702GL;Mi 360° 2K
Xtrelamp;Освещение;Артикул;Xtrelamp-001
Xunzel;Солнечная энергия;SOLARX-/SOLARPOWER-/CBP-/ACDC- + цифры/буквы;SOLARX-240;SOLARPOWER-XUNZEL-120W;CBP-XUNZEL-30;ACDC-XUNZEL-12V-6A;SOLARX-Lithium-120-12
Xylazel;Краски и химия;5-значный номер;50052; X-400
Yale;Безопасность;"YDM + цифры; серия";YDM3109;YSM/250/EG1
Zodiac;Бассейны;"Серия + цифры; WR0000";WR000027;Voyager RE 4200;MX8
﻿Бренд;Категория;Формат номера;Примеры оригинальных номеров
DEDRA;Электроинструмент;DED + 4 цифры (+буква/комплект A0X);"DED7850;DED7042;DED7014;DED7030A02;DED7093"
Dnipro-M;Электроинструмент;Буквы серии + 3 цифры + BC/H (+ULTRA, KIT);"DTD-201BC;DSB-25H;CD-204BC KIT;DMS-202BC"
FUXTEC;Электроинструмент/сад;FX- + буква(ы) + цифры (+SET);"FX-E1RH20;FX-RH1;FX-E1BS20;FX-CT500"
Graphite;Электроинструмент;58G + 3 цифры (EAN-подобный);"58G868;58G000;58G874;57G810"
HIKOKI;Электроинструмент;DH/DV/G + цифры + буквы (+WSZ комплект);"DH40MEY2Z;DH40MEY2WSZ;DV18DBFL2;G18DSL"
MEISTER;Электроинструмент;"Серия + мощность W; 5 цифр";"Meister MHR1010;1010 W 230 V"
Powerplus;Электроинструмент;POW + буква + 4-5 цифр;"POWX1170;POWE40030;POWDP5020"
RATIO;Электроинструмент;MR/AR + 4 цифры + буквы;"MR1050ND;AR1050;MR950N"
RYOBI;Электроинструмент;"R18 + буквы + цифры; OBL/ONE+";"R18PD3-0;R18AG7-0;OBL1820S;RRS1801M"
Scheppach;Электроинструмент;"AB/DH/HD + цифры (модель); 59 + 8 цифр (артикул)";"AB1600;5908201901;DH1200;HD2P"
Silverline;Инструменты;6 цифр;"633809;427555;240271;249765"
VERTEX;Электроинструмент;VMW/VM + 3-4 цифры (+RED);"VMW900RED;VMW1050;VM-1200"
BEXTCOK;Маркетплейс (noname);Своей системы нет — использовать мощность/тип как ID;BEXTCOK 20V 6.0Ah
MellWin;Маркетплейс (noname);Своей системы нет — модель по мощности;MellWin 670W 26mm
SucceBuy;Маркетплейс (noname);Своей системы нет — тип + параметр;SucceBuy 15T
TEKMAQUINAS;Запчасти (маркетплейс);Совместимость вместо номера (Yamaha G2-G22);G2-G22 clutch kit
DS Plus;⚠ НЕ БРЕНД;Это хвост «SDS Plus» (тип патрона) из названия Metabo — удалить;—
KH;⚠ НЕ БРЕНД;Это префикс модели Metabo (KH 18 LTX) — бренд = Metabo;—
